school_name,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed
THE LEXINGTON ACADEMY,11,0,23186.0,14.9,2.6,13.9,80.5,0.3,2.7,3.97,4.57,3.15,3.93,3.13,3.68,24.4,90.2,11.9,620.0,2.45,0.36,0.33
P.S. 096 JOSEPH LANZETTA,0,0,21449.0,22.0,2.3,25.4,68.0,1.3,3.0,3.34,2.65,2.88,3.08,1.97,3.15,31.0,94.0,20.4,397.0,2.09,0.27,0.23
P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,9,0,19804.0,24.23,3.3,31.9,62.4,0.7,1.8,2.71,3.66,3.3,3.38,3.71,4.26,32.1,89.2,9.1,452.0,3.03,0.28,0.24
P.S. 171 PATRICK HENRY,43,2,17443.0,27.07,6.2,26.6,59.9,3.0,4.3,4.85,4.42,3.89,4.12,3.3,3.92,21.4,69.2,3.3,725.0,4.2,0.65,0.65
P.S. 206 JOSE CELSO BARBOSA,17,1,31446.0,17.0,2.5,27.9,63.8,2.7,3.0,3.22,3.67,2.81,3.55,3.3,3.68,41.9,84.1,16.1,473.0,3.2,0.31,0.28
M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,14,0,18936.0,23.5,9.9,26.7,53.5,1.7,8.1,4.06,4.12,3.91,3.47,3.33,3.51,27.9,72.7,7.6,172.0,3.95,0.49,0.39
ESPERANZA PREPARATORY ACADEMY,0,0,24759.0,22.32,2.1,11.1,85.0,0.2,1.6,3.3,3.52,3.15,3.46,3.19,3.5,25.6,90.5,29.7,559.0,3.68,0.22,0.16
RENAISSANCE SCHOOL OF THE ARTS,6,0,25244.0,16.0,1.4,32.7,61.9,1.4,2.7,3.64,4.31,3.73,3.66,3.98,3.98,30.6,93.2,8.8,147.0,4.2,0.28,0.17
GLOBAL TECHNOLOGY PREPARATORY,0,0,21886.0,22.25,3.2,34.4,58.4,3.2,0.8,3.66,3.73,3.51,3.61,3.62,3.64,40.8,86.4,9.6,125.0,3.41,0.28,0.18
YOUNG WOMEN'S LEADERSHIP SCHOOL,8,0,18779.0,16.0,8.7,23.9,60.9,2.7,3.7,4.48,4.66,4.12,4.12,3.3,4.31,20.8,79.8,2.7,481.0,3.74,0.6,0.46
ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,20,1,20734.0,21.6,5.7,26.0,65.6,0.0,2.6,3.0,3.14,3.41,3.58,3.13,3.75,31.3,91.1,12.0,192.0,4.42,0.35,0.26
CENTRAL PARK EAST II,6,0,24262.0,14.5,6.5,29.5,35.0,8.5,20.5,4.11,4.28,2.91,3.53,3.95,3.14,21.7,42.2,0.4,448.0,2.42,0.48,0.41
P.S. 046 ARTHUR TAPPAN,8,0,18174.0,22.48,0.6,48.7,48.7,1.2,0.8,2.75,3.12,3.31,2.84,2.95,3.34,29.8,94.1,10.4,661.0,3.09,0.24,0.21
P.S. 123 MAHALIA JACKSON,0,0,23974.0,19.42,1.5,51.4,40.7,2.3,4.2,2.86,3.1,2.92,3.37,3.37,3.55,24.8,95.4,19.6,479.0,3.08,0.26,0.2
P.S. 129 JOHN H. FINLEY,21,1,22732.0,20.81,3.4,48.5,44.4,2.5,1.1,2.37,2.82,2.37,2.34,1.83,3.24,25.3,92.9,8.5,435.0,3.34,0.32,0.27
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,10,0,31509.0,22.33,0.3,68.9,24.5,5.7,0.6,3.28,3.65,3.06,4.18,3.62,3.64,28.0,76.1,3.1,318.0,2.1,0.3,0.21
